------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=10723; ReceivedMessages=10722
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.098 sec; SentMessages=10722; ReceivedMessages=10722
sockperf: [2;35m====> avg-lat=1403.174 (std-dev=607.716)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 10722 observations[0m; each percentile contains 107.22 observations
sockperf: ---> <MAX> observation = 4224.790
sockperf: ---> percentile 99.999 = 4224.790
sockperf: ---> percentile 99.990 = 4216.410
sockperf: ---> percentile 99.900 = 4137.620
sockperf: ---> percentile 99.000 = 3016.060
sockperf: ---> percentile 90.000 = 2806.930
sockperf: ---> percentile 75.000 = 1301.720
sockperf: ---> percentile 50.000 = 1264.330
sockperf: ---> percentile 25.000 = 1225.590
sockperf: ---> <MIN> observation =  707.280
------------------------------
txTime, rxTime
301795.258515843, 301795.266867724
301795.266868904, 301795.275246844
301795.275247784, 301795.283470225
301795.283470925, 301795.291920505
301795.291921205, 301795.299859105
301795.299860225, 301795.308033786
301795.308034586, 301795.316239966
301795.316241146, 301795.324538286
301795.324539226, 301795.330979786
301795.330981266, 301795.337047267
301795.337048047, 301795.342839387
301795.342840207, 301795.348779547
301795.348780747, 301795.354584808
301795.354585788, 301795.360619448
301795.360620128, 301795.366397968
301795.366398788, 301795.372366228
301795.372367068, 301795.378203309
301795.378203969, 301795.384106429
301795.384107509, 301795.389976609
301795.389977729, 301795.396015869
301795.396016609, 301795.401377870
301795.401378550, 301795.407424110
301795.407424910, 301795.413494930
301795.413495670, 301795.419144850
301795.419145870, 301795.425199491
301795.425200151, 301795.431185071
301795.431185751, 301795.436922211
301795.436922791, 301795.442951431
301795.442952051, 301795.448677632
301795.448678332, 301795.454535172
301795.454535792, 301795.460592792
301795.460593492, 301795.466450852
301795.466451452, 301795.472499953
301795.472500793, 301795.478223133
301795.478223773, 301795.484177593
301795.484178113, 301795.490189473
301795.490190553, 301795.496111574
301795.496112514, 301795.502144534
301795.502145374, 301795.508228774
301795.508229674, 301795.514239914
301795.514241174, 301795.520094035
301795.520095295, 301795.526169035
301795.526170315, 301795.532029275
301795.532030755, 301795.538107015
301795.538107875, 301795.543929716
301795.543930756, 301795.550016676
301795.550018036, 301795.555793696
301795.555794716, 301795.561846516
301795.561847336, 301795.567412117
301795.567413657, 301795.573636697
301795.573637637, 301795.579572557
301795.579573617, 301795.585684857
301795.585685917, 301795.591300918
301795.591302298, 301795.597435758
301795.597436618, 301795.603333438
301795.603334638, 301795.609382258
301795.609383078, 301795.614997939
301795.614998479, 301795.620929439
301795.620930139, 301795.627095579
301795.627096699, 301795.633170179
301795.633171419, 301795.638897020
301795.638897980, 301795.644931280
301795.644932540, 301795.651041820
301795.651042800, 301795.657028500
301795.657029320, 301795.663159861
301795.663160481, 301795.669240961
301795.669241761, 301795.675260221
301795.675260941, 301795.681331582
301795.681332282, 301795.687413382
301795.687414862, 301795.693443602
301795.693444742, 301795.699171262
301795.699172002, 301795.704746063
301795.704746923, 301795.710604343
301795.710605063, 301795.716759963
301795.716760643, 301795.722918343
301795.722919283, 301795.728847724
301795.728848524, 301795.734752744
301795.734753484, 301795.740941444
301795.740941944, 301795.747015024
301795.747015564, 301795.753109445
301795.753110685, 301795.759200365
301795.759201045, 301795.765283665
301795.765284725, 301795.771327745
301795.771328485, 301795.777318966
301795.777319826, 301795.783288646
301795.783290206, 301795.789279706
301795.789280626, 301795.795283146
301795.795284126, 301795.801255747
301795.801256507, 301795.807171227
301795.807171667, 301795.813145347
301795.813145827, 301795.819214047
301795.819215107, 301795.825102608
301795.825106148, 301795.831057768
301795.831058468, 301795.836994588
