------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=105.828 (std-dev=26.554)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  193.335
sockperf: ---> percentile 99.999 =  193.335
sockperf: ---> percentile 99.990 =  193.335
sockperf: ---> percentile 99.900 =  179.846
sockperf: ---> percentile 99.000 =  163.288
sockperf: ---> percentile 90.000 =  139.153
sockperf: ---> percentile 75.000 =  124.950
sockperf: ---> percentile 50.000 =  105.616
sockperf: ---> percentile 25.000 =   87.439
sockperf: ---> <MIN> observation =   31.636
------------------------------
txTime, rxTime
2.061882454, 2.062176036
2.071882457, 2.072052293
2.081882452, 2.082151327
2.091882450, 2.092138128
2.101882447, 2.102118175
2.111882445, 2.112062157
2.121882461, 2.122036378
2.131882450, 2.132046880
2.141882465, 2.142122418
2.151882449, 2.152112025
2.161882451, 2.162093504
2.171882443, 2.172111272
2.181882450, 2.182134604
2.191882451, 2.192089316
2.201882449, 2.202128329
2.211882449, 2.212054970
2.221882448, 2.222065422
2.231882450, 2.232154848
2.241882465, 2.242158021
2.251882448, 2.252089681
2.261882463, 2.261997183
2.271882441, 2.272169041
2.281882456, 2.282092697
2.291882450, 2.292069772
2.301882448, 2.302047082
2.311885478, 2.312101157
2.321882452, 2.321991257
2.331882451, 2.332046287
2.341882466, 2.342123334
2.351882448, 2.352132010
2.361882449, 2.361978036
2.371882446, 2.372096069
2.381882445, 2.382036965
2.391882469, 2.392084937
2.401882467, 2.402125408
2.411882454, 2.412050988
2.421882450, 2.422064846
2.431882452, 2.432153041
2.441882450, 2.442128952
2.451882450, 2.452177759
2.461882450, 2.462144654
2.471882453, 2.472168269
2.481882465, 2.482088774
2.491882450, 2.492119169
2.501882460, 2.502117394
2.511882450, 2.512150288
2.521882448, 2.522061873
2.531882448, 2.532103478
2.541882450, 2.542068727
2.551882453, 2.552118115
2.561882449, 2.561984106
2.571882450, 2.572056396
2.581882447, 2.582021027
2.591882459, 2.592136667
2.601882468, 2.602003960
2.611882450, 2.612089604
2.621882462, 2.622125821
2.631882453, 2.632126835
2.641882450, 2.642144721
2.651882445, 2.652117209
2.661882466, 2.662068658
2.671882446, 2.672177253
2.681882452, 2.682103138
2.691882451, 2.692070793
2.701882451, 2.702033344
2.711882460, 2.712109419
2.721882446, 2.722095717
2.731882443, 2.732090233
2.741882445, 2.742044623
2.751882444, 2.752095585
2.761882447, 2.762171330
2.771882450, 2.772124337
2.781882448, 2.782095769
2.791882451, 2.792132593
2.801882445, 2.802030557
2.811882445, 2.812088181
2.821882445, 2.822171851
2.831882453, 2.832028692
2.841882441, 2.842027835
2.851882450, 2.852080047
2.861882442, 2.862120674
2.871882446, 2.872063846
2.881882446, 2.882089649
2.891882476, 2.892041413
2.901882471, 2.902133217
2.911882450, 2.912050131
2.921882449, 2.922030428
2.931882444, 2.932152630
2.941882451, 2.942153262
2.951882455, 2.952088386
2.961882448, 2.962092117
2.971882448, 2.972112108
2.981882449, 2.982149556
2.991882454, 2.992174567
3.001882451, 3.002201830
